"session","created","modified","ended","expired","respondentID","doePath","doe","autoAttendantImg_beg","pageTime3","pageTime4","transportMode_regular","transportMode_regularOther","transportMode_occassionally","transportMode_occassionallyOther","transportMode_never","pageTime5","modeChangeBus","modeChangeRail","modeChangeRH","modeChangeSharedRH","pageTime6","avFamiliarity","automationComfort","transportCosts","avSafety","avBenefit","transportOptions","sharingWillingness","ptAccess","vehicleAccess","environmentConsid","pageTime7","pageTime8","pageTime9","pageTime10","attentionCheck","attentionScreenout"
"QKvDWWWjH2E3bqTLeXCWcYPqK2wzd_eLwA3Rp61TCvTPsSrDiioYceS-XS6czh7j","2021-10-04 22:13:35","2021-10-04 22:15:37","2021-10-04 22:15:37","","3928","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:13:36","2021-10-04 22:14:31","personalVehicle, rail, sharedRH, metroaccess","","bus, rail, sharedRH","","personalVehicle, rail, sharedRH","2021-10-04 22:14:44","more","same","same","less","2021-10-04 22:14:44","agreeStrong","agreeStrong","agree","agree","agreeStrong","agreeStrong","agree","agree","agree","agreeStrong","2021-10-04 22:15:05","2021-10-04 22:15:08","2021-10-04 22:15:23","2021-10-04 22:15:30","non_auto","1"
"LphWWI20e2ge5sgh5nWDw0NEaYRHzjWT3tDdE2tF3dChrLByPglKb9-4x3Z1EKXZ","2021-10-04 22:17:37","2021-10-04 22:22:38","2021-10-04 22:22:39","","1132","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:17:37","2021-10-04 22:18:07","personalVehicle","","personalVehicle","","personalVehicle","2021-10-04 22:18:31","neverUsed","neverUsed","neverUsed","less","2021-10-04 22:18:31","agreeStrong","neutral","agree","neutral","neutral","agree","disagreeStrong","neutral","agreeStrong","neutral","2021-10-04 22:20:10","2021-10-04 22:20:20","2021-10-04 22:22:08","2021-10-04 22:22:30","attendant_yes","1"
"rpnoCxc6MFD2rC4EuMVu4uDsjoJ2vkDPT9gO9XIZVSNMQ8rASXZ2RK1WH7HcxqEk","2021-10-04 22:18:09","2021-10-04 22:20:34","2021-10-04 22:20:34","","783","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:18:10","2021-10-04 22:18:35","personalVehicle","","rail","","metroaccess","2021-10-04 22:19:04","less","less","less","less","2021-10-04 22:19:04","neutral","disagree","neutral","neutral","agree","neutral","disagree","disagree","agreeStrong","disagree","2021-10-04 22:19:56","2021-10-04 22:19:59","2021-10-04 22:20:12","2021-10-04 22:20:23","attendant_no","0"
"KGhHpQOT2Zx8JNcDLEb8iihAC-FqWPxvzIp95jXMyavnzn02NqLG8-1CuqF-IoIz","2021-10-04 22:19:45","2021-10-04 22:22:55","2021-10-04 22:22:55","","4703","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:19:46","2021-10-04 22:20:46","bus, rail","","bus","","metroaccess","2021-10-04 22:21:03","same","same","more","less","2021-10-04 22:21:03","agree","agree","neutral","neutral","neutral","agree","neutral","disagree","disagree","disagree","2021-10-04 22:22:15","2021-10-04 22:22:17","2021-10-04 22:22:34","2021-10-04 22:22:46","attendant_no","0"
"GwH1W4ifV51l02rwRfR8uZOSlYQzVuN-O_Y7hdxCbF_S4pxp5nw8MEo4VHRPit4E","2021-10-04 22:23:07","2021-10-04 22:26:37","2021-10-04 22:26:37","","4384","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:23:08","2021-10-04 22:24:07","bus, rail","","bus","","bus, rail","2021-10-04 22:24:36","same","same","less","less","2021-10-04 22:24:36","disagree","neutral","neutral","neutral","neutral","neutral","disagree","agreeStrong","disagreeStrong","neutral","2021-10-04 22:25:55","2021-10-04 22:26:01","2021-10-04 22:26:14","2021-10-04 22:26:21","attendant_no","0"
"9OCow7ikza2LcDKkmZ2DxPgQeOHbBdi8LEcOrudDsRWEQFPkZSfu9s1Oo3zM2WGj","2021-10-04 22:26:49","2021-10-04 22:29:54","2021-10-04 22:29:54","","4660","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:26:50","2021-10-04 22:26:59","bus","","personalVehicle","","rail","2021-10-04 22:27:22","same","neverUsed","more","neverUsed","2021-10-04 22:27:59","agree","neutral","neutral","disagree","neutral","agree","neutral","disagree","agree","agree","2021-10-04 22:29:17","2021-10-04 22:29:27","2021-10-04 22:29:34","2021-10-04 22:29:40","attendant_no","0"
"5vp5W3CivoUHLWKN60XJQSn4qGZY7N-2NRHGvbMqhYvs0-6NbHB6RhC-mzD08IB3","2021-10-04 22:32:23","2021-10-04 22:36:30","2021-10-04 22:36:30","","1161","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:32:24","2021-10-04 22:33:29","personalVehicle","","personalVehicle","","usedAll","2021-10-04 22:34:04","same","same","same","same","2021-10-04 22:34:04","agreeStrong","disagree","disagreeStrong","neutral","neutral","agree","agree","disagreeStrong","agreeStrong","neutral","2021-10-04 22:35:10","2021-10-04 22:35:17","2021-10-04 22:35:46","2021-10-04 22:36:07","non_auto","1"
"goRI2lHDFMtz0iOWJRBSh06-JRZslA0JkV35UTjtuzn_H24XeAA6WTw7Q4m-oAMk","2021-10-04 22:33:11","2021-10-04 23:02:19","2021-10-04 23:02:19","","4208","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:33:12","2021-10-04 23:01:04","personalVehicle","","personalVehicle","","personalVehicle","2021-10-04 23:01:18","less","less","neverUsed","neverUsed","2021-10-04 23:01:18","disagree","neutral","disagree","neutral","agree","neutral","neutral","neutral","neutral","neutral","2021-10-04 23:01:51","2021-10-04 23:01:53","2021-10-04 23:02:05","2021-10-04 23:02:12","non_auto","1"
"5WXNEjZPPoLCMQxvM8Q3As46PRpcKe2nRxISW8ytyaRw3fiOdehdRR49FTcSZ1xm","2021-10-04 22:34:27","2021-10-04 22:35:38","","","4573","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:34:28","2021-10-04 22:34:35","personalVehicle","","personalVehicle","","RH","2021-10-04 22:35:38","","","","","","","","","","","","","","","","","","","","",""
"QZgBXJhu7wWHtruhgCwg6khgWwPxcG9TNp1DlOrBb8miYR5hGfOMNQldENhiI1Fg","2021-10-04 22:34:52","2021-10-04 22:38:40","2021-10-04 22:38:41","","3013","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:34:53","2021-10-04 22:35:18","personalVehicle","","bus","","usedAll","2021-10-04 22:36:01","same","same","same","same","2021-10-04 22:36:01","agree","agree","disagree","agree","disagree","agreeStrong","neutral","agreeStrong","agreeStrong","agreeStrong","2021-10-04 22:37:46","2021-10-04 22:37:57","2021-10-04 22:38:18","2021-10-04 22:38:28","attendant_no","0"
"oMn_iiGC_SVMNRlxyAAQsjf3DDKQvGj-ubmvFxdTeXMMAmPAQrPOKyDtEH7Scovf","2021-10-04 22:38:02","2021-10-04 22:42:10","2021-10-04 22:42:11","","1173","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:38:02","2021-10-04 22:39:43","personalVehicle","","personalVehicle","","sharedRH, metroaccess","2021-10-04 22:40:12","less","neverUsed","less","neverUsed","2021-10-04 22:40:12","agreeStrong","agree","disagreeStrong","neutral","disagreeStrong","agree","neutral","neutral","agreeStrong","neutral","2021-10-04 22:41:12","2021-10-04 22:41:27","2021-10-04 22:41:47","2021-10-04 22:42:01","attendant_no","0"
"90yUf-RHNqJa_0Z7NkJlPWzHiX1-OmD19EP3FBooLhJLBdLUgsj2BESNgRj_e1WI","2021-10-04 22:41:41","2021-10-04 22:45:00","2021-10-04 22:45:00","","4119","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:41:41","2021-10-04 22:42:47","personalVehicle","","personalVehicle","","RH, sharedRH, metroaccess","2021-10-04 22:43:17","less","less","neverUsed","neverUsed","2021-10-04 22:43:17","agree","disagreeStrong","disagree","disagreeStrong","agree","disagree","disagreeStrong","agreeStrong","agreeStrong","neutral","2021-10-04 22:44:10","2021-10-04 22:44:16","2021-10-04 22:44:32","2021-10-04 22:44:47","attendant_no","0"
"F6mKEJxXKo2F2rrihhb6eEMkg5IX9tjq2VQmA2vXZBXFAtS78bqf1zW3Qsy-BWt9","2021-10-04 22:47:46","2021-10-04 23:03:34","2021-10-04 23:03:35","","3515","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:47:47","2021-10-04 22:59:39","personalVehicle, bus, RH","","personalVehicle, bus, RH, sharedRH","","usedAll","2021-10-04 23:00:10","less","less","same","less","2021-10-04 23:00:10","agree","neutral","agreeStrong","disagree","agree","neutral","disagree","agree","agreeStrong","agreeStrong","2021-10-04 23:01:08","2021-10-04 23:01:16","2021-10-04 23:02:35","2021-10-04 23:03:22","attendant_no","0"
"1LzV4qWE3pftDjod6JzdpFRtAUM76uKBCflQBfdGPRpv6neVe8RmEfYDtV_KzYbl","2021-10-04 22:48:25","2021-10-04 22:51:01","2021-10-04 22:51:02","","1561","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:48:26","2021-10-04 22:49:24","personalVehicle, RH","","personalVehicle, RH","","personalVehicle, RH","2021-10-04 22:49:44","less","same","more","same","2021-10-04 22:49:44","agree","agreeStrong","agree","agree","agreeStrong","agreeStrong","neutral","agreeStrong","agreeStrong","agree","2021-10-04 22:50:08","2021-10-04 22:50:13","2021-10-04 22:50:28","2021-10-04 22:50:51","attendant_yes","1"
"bwdcWzig5wCiMk_dB4PzJPuzqr_62XdqjH3jMglFq96V5rZd9IUEj2xP1Ao5lOzx","2021-10-04 22:51:41","2021-10-04 22:55:10","2021-10-04 22:55:10","","4691","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:51:42","2021-10-04 22:52:47","bus, rail","","personalVehicle, RH","","sharedRH, metroaccess","2021-10-04 22:53:23","same","same","same","neverUsed","2021-10-04 22:53:23","agree","agree","neutral","disagree","neutral","neutral","disagree","agree","agree","agree","2021-10-04 22:54:26","2021-10-04 22:54:30","2021-10-04 22:54:43","2021-10-04 22:55:02","attendant_no","0"
"4MkdAO2OvCQ_SQaaWepCUVTX0is44NFoB_mBVZZYGGHcoVi9m0G73w57SGEQrbIH","2021-10-04 22:51:48","2021-10-04 22:55:52","2021-10-04 22:55:52","","2365","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:51:48","2021-10-04 22:52:55","personalVehicle, bus","","bus","","metroaccess","2021-10-04 22:53:31","neverUsed","less","same","neverUsed","2021-10-04 22:53:31","neutral","disagreeStrong","agreeStrong","disagreeStrong","agreeStrong","neutral","disagreeStrong","agreeStrong","agree","disagree","2021-10-04 22:54:50","2021-10-04 22:54:53","2021-10-04 22:55:07","2021-10-04 22:55:40","attendant_no","0"
"oUVdbUhLbWi7Ip4QpWoSp0rMVCNanjENw2pD1kylnemFhf4y2II33VYXM5iC_z1-","2021-10-04 22:57:34","2021-10-04 23:02:24","2021-10-04 23:02:24","","861","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:57:34","2021-10-04 22:57:41","personalVehicle, rail","","bus, rail","","bus, RH","2021-10-04 22:57:53","same","same","more","less","2021-10-04 22:58:01","agreeStrong","disagree","agreeStrong","disagreeStrong","disagree","agreeStrong","disagree","agreeStrong","agreeStrong","agree","2021-10-04 22:58:20","2021-10-04 22:58:47","2021-10-04 23:00:56","2021-10-04 23:02:02","attendant_no","0"
"IZXiAQtqIEpdaDcQeHhEIlzvPqHq3u6VItZPhwIXtLpB9usf8_iV8zxPc-3trWfG","2021-10-04 23:00:10","2021-10-04 23:07:43","2021-10-04 23:07:43","","4235","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:00:11","2021-10-04 23:00:55","personalVehicle","","personalVehicle","","metroaccess","2021-10-04 23:01:28","neverUsed","neverUsed","neverUsed","neverUsed","2021-10-04 23:01:28","agreeStrong","agree","disagree","neutral","neutral","agree","disagree","agree","agreeStrong","neutral","2021-10-04 23:06:20","2021-10-04 23:06:45","2021-10-04 23:07:11","2021-10-04 23:07:32","attendant_no","0"
"2raM_otDPF8GycYhvJ7FnFK-zNuhT2wJVv69s8ypdIoxpxLumoBeDt49aDTtkiew","2021-10-04 23:00:55","2021-10-04 23:11:24","2021-10-04 23:11:24","","802","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:00:56","2021-10-04 23:03:16","personalVehicle","","personalVehicle","","RH, sharedRH, metroaccess","2021-10-04 23:04:21","same","less","neverUsed","neverUsed","2021-10-04 23:04:21","agree","disagree","disagreeStrong","agree","disagree","neutral","disagree","agree","agreeStrong","neutral","2021-10-04 23:07:44","2021-10-04 23:07:57","2021-10-04 23:09:38","2021-10-04 23:11:08","attendant_no","0"
"ZW9JtE4ivm7IcwIhXxID5GtOfYEpIJ146P_KEMT39SxH6xY7vOTHo69tPCcYuyg5","2021-10-04 23:05:10","2021-10-04 23:06:54","2021-10-04 23:06:54","","4779","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:05:11","2021-10-04 23:06:21","RH","","RH","","bus","2021-10-04 23:06:27","same","same","less","same","2021-10-04 23:06:27","neutral","agree","disagreeStrong","agree","agree","disagree","neutral","agree","disagree","neutral","2021-10-04 23:06:40","2021-10-04 23:06:42","2021-10-04 23:06:48","2021-10-04 23:06:51","attendant_no","0"
"NHvFGScDzu8uMD077XLYb9MpU5Er9Iokc8YDxKBebo3sFpEYF3LMeeUuk00iKLY_","2021-10-04 23:05:23","2021-10-04 23:08:12","2021-10-04 23:08:12","","2615","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:05:23","2021-10-04 23:05:49","personalVehicle","","personalVehicle","","sharedRH, metroaccess","2021-10-04 23:06:19","same","same","same","neverUsed","2021-10-04 23:06:19","agree","disagreeStrong","neutral","neutral","neutral","neutral","disagreeStrong","disagreeStrong","agreeStrong","disagreeStrong","2021-10-04 23:07:12","2021-10-04 23:07:17","2021-10-04 23:07:41","2021-10-04 23:08:03","attendant_no","0"
"AKvhI80Wjch7JLrZN88kXl6QkXIBYcAsMA6jf2GYOiE7N5Q8SPd1l_3uL2oW9Ecd","2021-10-04 23:05:54","2021-10-04 23:08:32","2021-10-04 23:08:32","","236","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:05:55","2021-10-04 23:06:01","personalVehicle","","bus","","RH","2021-10-04 23:06:35","less","less","less","less","2021-10-04 23:06:58","agree","neutral","agree","neutral","neutral","neutral","agree","neutral","disagreeStrong","agree","2021-10-04 23:07:51","2021-10-04 23:07:55","2021-10-04 23:08:05","2021-10-04 23:08:14","attendant_no","0"
"IuF_a8g-tqcPHgmUwo4PyMMHrs0IysjWLoY_k2l5Yyw891ZfQ2XHVJEZrSC3TKga","2021-10-04 23:06:02","2021-10-04 23:08:16","2021-10-04 23:08:16","","3064","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:06:02","2021-10-04 23:06:57","personalVehicle","","personalVehicle","","personalVehicle","2021-10-04 23:07:10","neverUsed","neverUsed","less","less","2021-10-04 23:07:10","agree","agreeStrong","neutral","neutral","neutral","agree","disagreeStrong","neutral","agree","neutral","2021-10-04 23:07:51","2021-10-04 23:07:53","2021-10-04 23:08:03","2021-10-04 23:08:07","non_auto","1"
"lNkgOM7uU2UKIJp6SaQShRf8fe2MediJVRpIJ4TBhZyxaTlQQs8_9Ob6AwlxmkWe","2021-10-04 23:06:45","2021-10-04 23:09:30","2021-10-04 23:09:31","","1116","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:06:46","2021-10-04 23:07:27","personalVehicle, bus, rail","","rail","","usedAll","2021-10-04 23:07:49","same","same","same","same","2021-10-04 23:07:49","agree","disagree","neutral","disagreeStrong","agree","neutral","disagreeStrong","agreeStrong","agreeStrong","agree","2021-10-04 23:09:00","2021-10-04 23:09:03","2021-10-04 23:09:09","2021-10-04 23:09:20","attendant_no","0"
"nAlcvMQArxHBlXqLWtlM_qJRS6Zu31FdFwICqGvkMS1f20HaFsOQPxOmz_svd3Y9","2021-10-04 23:08:17","2021-10-04 23:24:16","2021-10-04 23:24:16","","1970","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 23:08:18","2021-10-04 23:13:06","personalVehicle","","personalVehicle","","rail","2021-10-04 23:14:32","neverUsed","less","less","neverUsed","2021-10-04 23:14:32","agree","neutral","neutral","disagree","neutral","agree","neutral","disagree","disagreeStrong","neutral","2021-10-04 23:20:02","2021-10-04 23:20:46","2021-10-04 23:22:58","2021-10-04 23:24:01","attendant_no","0"
